total_flow_packets,total_fw_packets,total_bw_packets,flow_duration,flow_down_up_ratio,flow_total_SYN_flag,flow_total_RST_flag,flow_total_PSH_flag,flow_total_ACK_flag,flow_total_FIN_flag,flow_total_http_get_packets,flow_total_http_2xx_packets,flow_total_http_4xx_packets,flow_websocket_packts_per_second,fw_websocket_packts_per_second,bw_websocket_packts_per_second,flow_websocket_bytes_per_second,fw_websocket_bytes_per_second,bw_websocket_bytes_per_second,flow_total_websocket_ping_packets,flow_total_websocket_pong_packets,flow_total_websocket_close_packets,flow_total_websocket_data_messages,flow_total_ocpp16_heartbeat_packets,flow_total_ocpp16_starttransaction_packets,flow_total_ocpp16_remotestarttransaction_packets,flow_total_ocpp16_authorize_not_accepted_packets,flow_total_ocpp16_setchargingprofile_packets,flow_avg_ocpp16_setchargingprofile_limit,flow_max_ocpp16_setchargingprofile_limit,flow_min_ocpp16_setchargingprofile_limit,flow_avg_ocpp16_setchargingprofile_minchargingrate,flow_min_ocpp16_setchargingprofile_minchargingrate,flow_max_ocpp16_setchargingprofile_minchargingrate,flow_total_ocpp16_metervalues,flow_avg_ocpp16_metervalues_wh_diff,flow_max_ocpp16_metervalues_wh_diff,flow_min_ocpp16_metervalues_wh_diff,label,label_bin
11,6,5,0.011882,0.8333333333333334,3,0,2,9,2,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,cyberattack_ocpp16_unauthorized_access,1
41,20,21,101.80216,1.05,0,0,21,41,0,0,0,0,2.0628246001853008e-07,9.822974286596669e-08,1.0805271715256337e-07,2.74846820538e-05,3.6541464346e-06,2.38305356192e-05,5,4,0,12,2,0,0,0,4,90.0,90,90,3.0,3,3,0,0.0,0,0,cyberattack_ocpp16_fdi_chargingprofile,1
125,61,64,118.5341,1.0491803278688523,0,0,65,125,0,0,0,0,5.483654070853873e-07,2.6996450810357525e-07,2.78400898981812e-07,5.80086236787e-05,9.6849767282e-06,4.83236469505e-05,4,4,0,57,0,4,5,4,0,0.0,0,0,0.0,0,0,8,0.0,0,0,cyberattack_ocpp16_doc_idtag,1
41,20,21,101.695714,1.05,0,0,21,41,0,0,0,0,2.064983780929057e-07,9.833256099662177e-08,1.0816581709628393e-07,3.31380730558e-05,2.38161462733e-05,9.3219267824e-06,4,4,0,13,2,0,0,0,5,90.0,90,90,3.0,3,3,0,0.0,0,0,cyberattack_ocpp16_fdi_chargingprofile,1
65,28,37,105.103546,1.3214285714285714,3,1,35,62,0,1,0,0,3.139760860209227e-07,1.522308295859019e-07,1.6174525643502077e-07,6.68769063224e-05,3.16069259927e-05,3.52699803296e-05,0,0,0,33,0,0,0,0,6,90.0,90,90,3.0,3,3,0,0.0,0,0,cyberattack_ocpp16_fdi_chargingprofile,1
127,64,63,117.048002,0.984375,0,0,65,127,0,0,0,0,5.553277193061357e-07,2.733921079660976e-07,2.819356113400381e-07,5.74294296796e-05,4.7775270867e-05,9.6541588125e-06,5,4,0,56,0,4,4,4,0,0.0,0,0,0.0,0,0,8,0.0,0,0,cyberattack_ocpp16_doc_idtag,1
1659,950,709,119.863067,0.7463157894736843,0,0,959,1659,0,0,0,0,8.0007964421e-06,3.9878839409e-06,4.0129125012e-06,0.0006121485277862,0.0002632003401014,0.0003489481876848,0,0,0,959,479,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat,1
41,18,23,99.845507,1.2777777777777777,3,0,22,39,0,1,0,0,1.9029399089535402e-07,8.012378564014905e-08,1.1017020525520493e-07,4.24455754428e-05,7.2111407076e-06,3.52344347352e-05,2,1,0,16,0,0,0,0,6,90.0,90,90,3.0,3,3,0,0.0,0,0,cyberattack_ocpp16_fdi_chargingprofile,1
41,20,21,100.044572,1.05,0,0,21,41,0,0,0,0,2.0990644050133973e-07,9.995544785778085e-08,1.0995099264355893e-07,2.80075164897e-05,3.7383337498e-06,2.42691827398e-05,5,4,0,12,2,0,0,0,4,90.0,90,90,3.0,3,3,0,0.0,0,0,cyberattack_ocpp16_fdi_chargingprofile,1
1731,786,945,119.802925,1.202290076335878,0,0,961,1731,0,0,0,0,8.0215069874e-06,4.0399681393e-06,3.981538848e-06,0.0006142587920954,0.0003514772281227,0.0002627815639726,0,0,0,961,477,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat,1
4,3,1,43.543048,0.3333333333333333,0,0,4,4,0,0,0,0,9.18631144057715e-08,6.889733580432865e-08,2.2965778601442875e-08,5.27294276689e-05,3.95470707516e-05,1.31823569172e-05,0,0,0,4,0,0,0,0,4,30.0,90,10,3.0,3,3,0,0.0,0,0,cyberattack_ocpp16_fdi_chargingprofile,1
122,62,60,113.37023,0.967741935483871,0,0,63,122,0,0,0,0,5.557014394343207e-07,2.7344039083276095e-07,2.822610486015597e-07,5.93189234951e-05,4.89193679857e-05,1.03995555094e-05,4,4,0,55,0,5,3,4,0,0.0,0,0,0.0,0,0,8,0.0,0,0,cyberattack_ocpp16_doc_idtag,1
1697,958,739,119.968361,0.7713987473903967,0,0,959,1697,0,0,0,0,7.9937742918e-06,3.9927193804e-06,4.0010549114e-06,0.0006107610322358,0.0002635194791066,0.0003472415531291,1,0,0,958,480,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat,1
11,6,5,0.013507,0.8333333333333334,3,0,2,9,2,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,cyberattack_ocpp16_unauthorized_access,1
49,22,27,109.093636,1.2272727272727273,0,0,27,49,0,0,0,0,2.474938134796425e-07,1.1916368797167969e-07,1.2833012550796276e-07,3.76373925239e-05,4.803213269e-06,3.28341792549e-05,6,5,0,16,2,0,0,0,6,10.0,10,10,3.0,3,3,0,0.0,0,0,normal,0
100,54,46,116.919023,0.8518518518518519,0,0,55,100,0,0,0,0,4.704110467977482e-07,2.309290593370764e-07,2.394819874606718e-07,5.24722140382e-05,7.269988905e-06,4.52022251332e-05,4,4,0,47,0,3,3,2,0,0.0,0,0,0.0,0,0,8,0.0,0,0,cyberattack_ocpp16_doc_idtag,1
1710,942,768,119.7933,0.8152866242038217,0,0,966,1710,0,0,0,0,8.0638900506e-06,3.9902064639e-06,4.0736835866e-06,0.0006175887967023,0.0002633536266218,0.0003542351700804,0,0,0,966,479,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat,1
14,6,8,60.047615,1.3333333333333333,0,0,9,14,0,0,0,0,8.326725382848261e-08,3.3306901531393054e-08,4.996035229708957e-08,3.6637591684532346e-07,1.998414091883583e-07,1.6653450765696525e-07,3,2,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,normal,0
40,20,20,109.097401,1.0,0,0,21,40,0,0,0,0,1.9248854516708425e-07,9.166121198432584e-08,1.0082733318275841e-07,2.5683471598e-05,3.4281293282e-06,2.22553422697e-05,5,4,0,12,2,0,0,0,4,90.0,90,90,3.0,3,3,0,0.0,0,0,cyberattack_ocpp16_fdi_chargingprofile,1
64,28,36,116.566833,1.2857142857142858,3,0,35,62,0,1,0,0,2.830993958633157e-07,1.1152400443100313e-07,1.715753914323125e-07,6.86644716512e-05,8.3643003323e-06,6.03001713188e-05,3,3,0,27,1,0,0,0,12,10.0,10,10,3.0,3,3,0,0.0,0,0,normal,0
124,62,62,110.502802,1.0,0,0,65,124,0,0,0,0,5.882203783393656e-07,2.895854170286108e-07,2.986349613107548e-07,6.2224666484e-05,1.03888768359e-05,5.18357896481e-05,4,4,0,57,0,4,5,4,0,0.0,0,0,0.0,0,0,8,0.0,0,0,cyberattack_ocpp16_doc_idtag,1
49,24,25,115.532617,1.0416666666666667,0,0,25,49,0,0,0,0,2.1638910854066443e-07,1.0386677209951889e-07,1.1252233644114545e-07,3.54012581572e-05,4.4489600715e-06,3.09522980856e-05,5,4,0,16,2,0,0,0,6,10.0,10,10,3.0,3,3,0,0.0,0,0,normal,0
124,59,65,112.276809,1.1016949152542372,0,0,65,124,0,0,0,0,5.789263212851017e-07,2.850098812480501e-07,2.939164400370517e-07,5.94423733577e-05,4.95917193371e-05,9.8506540206e-06,5,4,0,56,0,4,4,4,0,0.0,0,0,0.0,0,0,8,0.0,0,0,cyberattack_ocpp16_doc_idtag,1
51,24,27,109.787389,1.125,0,0,27,51,0,0,0,0,2.459298854443109e-07,1.184106855842979e-07,1.2751919986001306e-07,3.73631255589e-05,4.7546444519e-06,3.2608481107e-05,6,5,0,16,2,0,0,0,6,90.0,90,90,3.0,3,3,0,0.0,0,0,cyberattack_ocpp16_fdi_chargingprofile,1
11,6,5,0.011119,0.8333333333333334,3,0,2,9,2,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,cyberattack_ocpp16_unauthorized_access,1
11,6,5,0.005311,0.8333333333333334,3,0,2,9,2,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,cyberattack_ocpp16_unauthorized_access,1
41,20,21,103.634205,1.05,0,0,21,41,0,0,0,0,2.026357996377741e-07,9.649323792274954e-08,1.0614256171502449e-07,2.69988079707e-05,3.5895484507e-06,2.340925952e-05,5,4,0,12,2,0,0,0,4,90.0,90,90,3.0,3,3,0,0.0,0,0,cyberattack_ocpp16_fdi_chargingprofile,1
49,24,25,110.335648,1.0416666666666667,0,0,25,49,0,0,0,0,2.265813493024485e-07,1.0875904766517526e-07,1.178223016372732e-07,3.70324557299e-05,4.6403860337e-06,3.23920696962e-05,5,4,0,16,2,0,0,0,6,10.0,10,10,3.0,3,3,0,0.0,0,0,normal,0
701,393,308,49.774672,0.7837150127226463,0,0,399,701,0,0,0,0,8.0161251489e-06,3.9980173048e-06,4.018107844e-06,0.0006130226232329,0.0002638691421211,0.0003491534811118,0,0,0,399,200,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat,1
48,23,25,112.527527,1.0869565217391304,0,0,25,48,0,0,0,0,2.221678612025305e-07,1.0664057337721464e-07,1.1552728782531585e-07,3.07302585615e-05,4.0167949305e-06,2.67134636309e-05,6,5,0,14,2,0,0,0,5,90.0,90,90,3.0,3,3,0,0.0,0,0,cyberattack_ocpp16_fdi_chargingprofile,1
1699,955,744,119.811241,0.7790575916230367,0,0,958,1699,0,0,0,0,7.9959108344e-06,3.9896089549e-06,4.0063018794e-06,0.0006116871788349,0.0002633141910282,0.0003483729878067,0,0,0,958,479,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat,1
6,5,1,12.774439,0.2,0,0,6,6,0,0,0,0,4.696879448091617e-07,3.9140662067430123e-07,7.828132413486024e-08,0.0002696008803204,0.000224667400267,4.49334800534e-05,0,0,0,6,0,0,0,0,6,90.0,90,90,3.0,3,3,0,0.0,0,0,cyberattack_ocpp16_fdi_chargingprofile,1
11,6,5,0.023698,0.8333333333333334,3,0,2,9,2,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,cyberattack_ocpp16_unauthorized_access,1
48,24,24,113.484778,1.0,0,0,25,48,0,0,0,0,2.2029386178999266e-07,1.0574105365919648e-07,1.145528081307962e-07,3.60400757888e-05,4.5292417984e-06,3.15108339904e-05,5,4,0,16,2,0,0,0,6,10.0,10,10,3.0,3,3,0,0.0,0,0,normal,0
11,6,5,0.008441,0.8333333333333334,3,0,2,9,2,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,cyberattack_ocpp16_unauthorized_access,1
11,6,5,0.005604,0.8333333333333334,3,0,2,9,2,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,cyberattack_ocpp16_unauthorized_access,1
11,6,5,0.004242,0.8333333333333334,3,0,2,9,2,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,cyberattack_ocpp16_unauthorized_access,1
11,6,5,0.021072,0.8333333333333334,3,0,2,9,2,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,cyberattack_ocpp16_unauthorized_access,1
131,64,67,107.475234,1.046875,0,0,67,131,0,0,0,0,6.233994335848573e-07,3.070474822134372e-07,3.1635195137142017e-07,6.26935131864e-05,5.2123636223e-05,1.05698769634e-05,6,5,0,56,0,4,4,4,0,0.0,0,0,0.0,0,0,8,0.0,0,0,cyberattack_ocpp16_doc_idtag,1
45,22,23,118.534491,1.0454545454545454,0,0,23,45,0,0,0,0,1.940363501455454e-07,9.279999354786956e-08,1.0123635659767589e-07,2.90379616174e-05,3.728872468e-06,2.53090891494e-05,5,4,0,14,2,0,0,0,5,90.0,90,90,3.0,3,3,0,0.0,0,0,cyberattack_ocpp16_fdi_chargingprofile,1
47,23,24,109.38715,1.0434782608695652,0,0,25,47,0,0,0,0,2.285460403712868e-07,1.0970209937821765e-07,1.1884394099306913e-07,3.73901322047e-05,4.69890659e-06,3.26912256147e-05,5,4,0,16,2,0,0,0,6,10.0,10,10,3.0,3,3,0,0.0,0,0,normal,0
123,62,61,114.146698,0.9838709677419356,0,0,65,123,0,0,0,0,5.694426657878444e-07,2.8034100469555415e-07,2.891016610922903e-07,5.88891322988e-05,4.89895905705e-05,9.8995417283e-06,5,4,0,56,0,4,4,4,0,0.0,0,0,0.0,0,0,8,0.0,0,0,cyberattack_ocpp16_doc_idtag,1
124,62,62,107.835078,1.0,0,0,65,124,0,0,0,0,6.027723186698118e-07,2.96749449191292e-07,3.060228694785198e-07,6.27810553445e-05,5.2079528333e-05,1.07015270114e-05,5,4,0,56,0,4,4,4,0,0.0,0,0,0.0,0,0,8,0.0,0,0,cyberattack_ocpp16_doc_idtag,1
1727,956,771,119.790826,0.8064853556485355,0,0,957,1727,0,0,0,0,7.9889256294e-06,3.9902888723e-06,3.998636757e-06,0.000611065157861,0.0002633590655765,0.0003477060922845,0,0,0,957,479,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat,1
92,41,51,118.333306,1.2439024390243902,0,0,51,92,0,0,0,0,4.3098601504465697e-07,2.1126765443365538e-07,2.1971836061100162e-07,4.38676157666e-05,3.65239520984e-05,7.3436636681e-06,5,4,0,42,0,3,3,3,0,0.0,0,0,0.0,0,0,6,0.0,0,0,cyberattack_ocpp16_doc_idtag,1
1688,943,745,119.828288,0.7900318133616119,0,0,965,1688,0,0,0,0,8.053190245e-06,3.9890413856e-06,4.0641488594e-06,0.0006160064641831,0.0002632767314509,0.0003527297327322,1,0,0,964,479,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat,1
40,20,20,99.595821,1.0,0,0,21,40,0,0,0,0,2.1085222039587386e-07,1.004058192361304e-07,1.1044640115974345e-07,2.81337105499e-05,3.7551776394e-06,2.43785329105e-05,5,4,0,12,2,0,0,0,4,90.0,90,90,3.0,3,3,0,0.0,0,0,cyberattack_ocpp16_fdi_chargingprofile,1
123,63,60,110.135372,0.9523809523809524,0,0,65,123,0,0,0,0,5.901827797884952e-07,2.9055152235741305e-07,2.9963125743108217e-07,6.14698064487e-05,5.09917921737e-05,1.0478014275e-05,5,4,0,56,0,4,4,4,0,0.0,0,0,0.0,0,0,8,0.0,0,0,cyberattack_ocpp16_doc_idtag,1
11,6,5,0.003871,0.8333333333333334,3,0,2,9,2,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,cyberattack_ocpp16_unauthorized_access,1
48,23,25,115.232649,1.0869565217391304,0,0,25,48,0,0,0,0,2.1695240209222301e-07,1.0413715300426705e-07,1.1281524908795597e-07,3.54934129822e-05,4.460541387e-06,3.10328715952e-05,5,4,0,16,2,0,0,0,6,10.0,10,10,3.0,3,3,0,0.0,0,0,normal,0
48,24,24,119.810004,1.0,0,0,25,48,0,0,0,0,2.086637105863047e-07,1.0015858108142622e-07,1.085051295048784e-07,3.43794329561e-05,4.2901258896e-06,3.00893070665e-05,4,4,0,17,3,0,0,0,6,10.0,10,10,3.0,3,3,0,0.0,0,0,normal,0
11,6,5,0.007038,0.8333333333333334,3,0,2,9,2,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,cyberattack_ocpp16_unauthorized_access,1
45,22,23,118.883418,1.0454545454545454,0,0,23,45,0,0,0,0,1.9346684665476226e-07,9.252762231314717e-08,1.0093922434161509e-07,2.89863805901e-05,3.7347513006e-06,2.52516292894e-05,5,4,0,14,2,0,0,0,5,90.0,90,90,3.0,3,3,0,0.0,0,0,cyberattack_ocpp16_fdi_chargingprofile,1
129,65,64,105.492796,0.9846153846153848,0,0,67,129,0,0,0,0,6.351144584318345e-07,3.1281756907836626e-07,3.222968893534683e-07,6.38716600136e-05,5.31031521811e-05,1.07685078325e-05,6,5,0,56,0,4,4,4,0,0.0,0,0,0.0,0,0,8,0.0,0,0,cyberattack_ocpp16_doc_idtag,1
11,6,5,0.007674,0.8333333333333334,3,0,2,9,2,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,cyberattack_ocpp16_unauthorized_access,1
45,22,23,100.298764,1.0454545454545454,0,0,23,45,0,0,0,0,2.293148896630471e-07,1.096723385345008e-07,1.1964255112854632e-07,3.4357352599e-05,4.4267743917e-06,2.99305782073e-05,5,4,0,14,2,0,0,0,5,90.0,90,90,3.0,3,3,0,0.0,0,0,cyberattack_ocpp16_fdi_chargingprofile,1
53,25,28,102.235889,1.12,3,0,26,51,0,1,0,0,2.347512232226005e-07,1.1737561161130021e-07,1.1737561161130021e-07,3.26891078337e-05,8.8520773756e-06,2.3837030458e-05,3,3,0,18,1,0,0,0,4,90.0,90,90,3.0,3,3,0,0.0,0,0,cyberattack_ocpp16_fdi_chargingprofile,1
41,20,21,103.900666,1.05,0,0,21,41,0,0,0,0,2.021161250304209e-07,9.624577382400997e-08,1.0587035120641093e-07,2.69680658254e-05,3.599591941e-06,2.33684738844e-05,5,4,0,12,2,0,0,0,4,90.0,90,90,3.0,3,3,0,0.0,0,0,cyberattack_ocpp16_fdi_chargingprofile,1
48,24,24,119.189349,1.0,0,0,25,48,0,0,0,0,2.0975028565681654e-07,1.0068013711527193e-07,1.090701485415446e-07,3.90806732235e-05,2.99523407917e-05,9.1283324317e-06,4,4,0,17,2,0,0,0,7,10.0,10,10,3.0,3,3,0,0.0,0,0,normal,0
46,23,23,116.430905,1.0,0,0,24,46,0,0,0,0,2.061308378561517e-07,9.447663401740285e-08,1.1165420383874884e-07,2.74583453594e-05,4.1054391873e-06,2.33529061721e-05,4,5,0,15,0,2,2,2,0,0.0,0,0,0.0,0,0,8,0.0,0,0,cyberattack_ocpp16_doc_idtag,1
11,6,5,0.01281,0.8333333333333334,3,0,2,9,2,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,cyberattack_ocpp16_unauthorized_access,1
128,63,65,109.407502,1.031746031746032,0,0,67,128,0,0,0,0,6.123894502225269e-07,3.016246545872147e-07,3.1076479563531213e-07,6.1586270382e-05,1.03283593843e-05,5.12579109977e-05,6,5,0,56,0,4,4,4,0,0.0,0,0,0.0,0,0,8,0.0,0,0,cyberattack_ocpp16_doc_idtag,1
1709,956,753,119.798827,0.7876569037656904,0,0,957,1709,0,0,0,0,7.9883920733e-06,3.990022373e-06,3.9983697002e-06,0.0006110243466741,0.0002633414766239,0.0003476828700501,0,0,0,957,479,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat,1
120,65,55,118.660091,0.8461538461538461,0,0,66,120,0,0,0,0,5.562105965349378e-07,2.781052982674689e-07,2.781052982674689e-07,5.79638861055e-05,9.6915482729e-06,4.82723378326e-05,4,5,0,57,0,4,5,4,0,0.0,0,0,0.0,0,0,8,0.0,0,0,cyberattack_ocpp16_doc_idtag,1
123,62,61,98.484684,0.9838709677419356,0,0,65,123,0,0,0,0,6.600011023033795e-07,3.2492361959551e-07,3.3507748270786965e-07,6.7056111994e-05,5.64148634522e-05,1.06412485417e-05,6,5,0,54,0,4,3,4,0,0.0,0,0,0.0,0,0,8,0.0,0,0,cyberattack_ocpp16_doc_idtag,1
11,6,5,0.019145,0.8333333333333334,3,0,2,9,2,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,cyberattack_ocpp16_unauthorized_access,1
129,64,65,110.452699,1.015625,0,0,65,129,0,0,0,0,5.884872039206576e-07,2.897167773147852e-07,2.987704266058723e-07,6.08586305346e-05,5.06280068357e-05,1.02306236989e-05,5,4,0,56,0,4,4,4,0,0.0,0,0,0.0,0,0,8,0.0,0,0,cyberattack_ocpp16_doc_idtag,1
49,24,25,115.542975,1.0416666666666667,0,0,25,49,0,0,0,0,2.163697100580975e-07,1.0385746082788676e-07,1.1251224923021066e-07,3.53634654118e-05,4.4312516619e-06,3.09322137499e-05,5,4,0,16,2,0,0,0,6,10.0,10,10,3.0,3,3,0,0.0,0,0,normal,0
1731,951,780,119.845269,0.8201892744479495,0,0,960,1731,0,0,0,0,8.0103287181e-06,3.9884761742e-06,4.0218525438e-06,0.0006129653728759,0.0002632394274988,0.0003497259453771,0,0,0,960,479,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat,1
41,20,21,108.074197,1.05,0,0,21,41,0,0,0,0,1.943109510219169e-07,9.252902429615092e-08,1.0178192672576601e-07,2.59266326077e-05,3.4605855086e-06,2.24660470991e-05,5,4,0,12,2,0,0,0,4,90.0,90,90,3.0,3,3,0,0.0,0,0,cyberattack_ocpp16_fdi_chargingprofile,1
49,24,25,116.796824,1.0416666666666667,0,0,25,49,0,0,0,0,2.140469162072421e-07,1.027425197794762e-07,1.1130439642776589e-07,3.50180754915e-05,4.4008045972e-06,3.06172708942e-05,5,4,0,16,2,0,0,0,6,10.0,10,10,3.0,3,3,0,0.0,0,0,normal,0
