index,flow_id,src_ip,dst_ip,src_port,dst_port,total_flow_packets,total_fw_packets,total_bw_packets,flow_duration,flow_down_up_ratio,flow_total_SYN_flag,flow_total_RST_flag,flow_total_PSH_flag,flow_total_ACK_flag,flow_total_URG_flag,flow_total_CWE_flag,flow_total_ECE_flag,flow_total_FIN_flag,flow_start_timestamp,flow_end_timestamp,flow_total_http_get_packets,flow_total_http_2xx_packets,flow_total_http_4xx_packets,flow_total_http_5xx_packets,flow_websocket_packts_per_second,fw_websocket_packts_per_second,bw_websocket_packts_per_second,flow_websocket_bytes_per_second,fw_websocket_bytes_per_second,bw_websocket_bytes_per_second,flow_total_websocket_ping_packets,flow_total_websocket_pong_packets,flow_total_websocket_close_packets,flow_total_websocket_data_messages,flow_total_ocpp16_heartbeat_packets,flow_total_ocpp16_resetHard_packets,flow_total_ocpp16_resetSoft_packets,flow_total_ocpp16_unlockconnector_packets,flow_total_ocpp16_starttransaction_packets,flow_total_ocpp16_remotestarttransaction_packets,flow_total_ocpp16_authorize_not_accepted_packets,flow_total_ocpp16_setchargingprofile_packets,flow_avg_ocpp16_setchargingprofile_limit,flow_max_ocpp16_setchargingprofile_limit,flow_min_ocpp16_setchargingprofile_limit,flow_avg_ocpp16_setchargingprofile_minchargingrate,flow_min_ocpp16_setchargingprofile_minchargingrate,flow_max_ocpp16_setchargingprofile_minchargingrate,flow_total_ocpp16_metervalues,flow_min_ocpp16_metervalues_soc,flow_max_ocpp16_metervalues_soc,flow_avg_ocpp16_metervalues_wh_diff,flow_max_ocpp16_metervalues_wh_diff,flow_min_ocpp16_metervalues_wh_diff,label
10,192.168.21.225-192.168.21.70-41210-80,192.168.21.225,192.168.21.70,41210,80,1733,942,791,119550024.0,0.8397027600849257,0,0,962,1733,0,0,0,0,1719307083167825.0,1719307202717849.0,0,0,0,0,8.0468407099e-06,3.9899615578e-06,4.0568791521e-06,0.0006161102903668,0.000263337462818,0.0003527728275487,0,0,0,962,478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat
11,192.168.21.225-192.168.21.70-41216-80,192.168.21.225,192.168.21.70,41216,80,1681,955,726,119780627.0,0.7602094240837697,0,0,957,1681,0,0,0,0,1719315843034790.0,1719315962815417.0,0,0,0,0,7.989605865e-06,3.9906286347e-06,3.9989772302e-06,0.0006111171884248,0.0002633814898965,0.0003477356985282,0,0,0,957,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat
12,192.168.21.225-192.168.21.70-41542-80,192.168.21.225,192.168.21.70,41542,80,1716,946,770,119796561.0,0.813953488372093,0,0,963,1716,0,0,0,0,1719314763265576.0,1719314883062137.0,0,0,0,0,8.0386280871e-06,3.9900978459e-06,4.0485302411e-06,0.0006153932916321,0.0002633464578336,0.0003520468337985,0,0,0,963,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat
13,192.168.21.225-192.168.21.70-40978-80,192.168.21.225,192.168.21.70,40978,80,1728,946,782,119842652.0,0.8266384778012685,0,0,966,1728,0,0,0,0,1719306602858695.0,1719306722701347.0,0,0,0,0,8.0605692871e-06,3.9885632704e-06,4.0720060166e-06,0.0006173344695342,0.0002632451758494,0.0003540892936848,0,0,0,966,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat
14,192.168.21.225-192.168.21.70-41402-80,192.168.21.225,192.168.21.70,41402,80,1715,947,768,119782731.0,0.8109820485744457,0,0,961,1715,0,0,0,0,1719313683155940.0,1719313802938671.0,0,0,0,0,8.0228593218e-06,3.9905585388e-06,4.0323007829e-06,0.0006140117142595,0.0002633768635647,0.0003506348506947,0,0,0,961,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat
15,192.168.21.225-192.168.21.70-41156-80,192.168.21.225,192.168.21.70,41156,80,1740,954,786,119584242.0,0.8238993710691824,0,0,955,1740,0,0,0,0,1719314403145553.0,1719314522729795.0,0,0,0,0,7.9860020352e-06,3.9888198647e-06,3.9971821705e-06,0.0006108413514884,0.0002632621110731,0.0003475792404153,0,0,0,955,478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat
16,192.168.21.225-192.168.21.70-41224-80,192.168.21.225,192.168.21.70,41224,80,1737,955,782,119808314.0,0.818848167539267,0,0,958,1737,0,0,0,0,1719312243125183.0,1719312362933497.0,0,0,0,0,7.99610618e-06,3.9897064238e-06,4.0063997561e-06,0.0006117021227758,0.000263320623976,0.0003483814987998,0,0,0,958,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat
17,192.168.21.225-192.168.21.70-41048-80,192.168.21.225,192.168.21.70,41048,80,1723,946,777,119754183.0,0.821353065539112,0,0,960,1723,0,0,0,0,1719315243006113.0,1719315362760296.0,0,0,0,0,8.0164214389e-06,3.9915098414e-06,4.0249115974e-06,0.0006134315992953,0.000263439649536,0.0003499919497592,0,0,0,960,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat
18,192.168.21.225-192.168.21.70-41724-80,192.168.21.225,192.168.21.70,41724,80,1659,956,703,119802212.0,0.7353556485355649,0,0,957,1659,0,0,0,0,1719314763245684.0,1719314883047896.0,0,0,0,0,7.988166362e-06,3.9899096353e-06,3.9982567266e-06,0.0006110070822398,0.0002633340359358,0.000347673046304,0,0,0,957,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat
19,192.168.21.225-192.168.21.70-41032-80,192.168.21.225,192.168.21.70,41032,80,1698,954,744,119732327.0,0.779874213836478,0,0,957,1698,0,0,0,0,1719311163033753.0,1719311282766080.0,0,0,0,0,7.9928288706e-06,3.9922384536e-06,4.0005904169e-06,0.0006113637129928,0.0002634877379439,0.0003478759750489,0,0,0,957,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat
20,192.168.21.225-192.168.21.70-41634-80,192.168.21.225,192.168.21.70,41634,80,1704,938,766,119755772.0,0.8166311300639659,0,0,963,1704,0,0,0,0,1719312843110056.0,1719312962865828.0,0,0,0,0,8.0413660562e-06,3.9914568794e-06,4.0499091768e-06,0.000615602895533,0.0002634361540419,0.0003521667414911,0,0,0,963,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat
21,192.168.21.225-192.168.21.70-41300-80,192.168.21.225,192.168.21.70,41300,80,1686,957,729,119709011.0,0.7617554858934169,0,0,958,1686,0,0,0,0,1719311523035870.0,1719311642744881.0,0,0,0,0,8.0027392424e-06,3.9930160311e-06,4.0097232112e-06,0.0006115329112526,0.000263539058058,0.0003479938531945,1,0,0,957,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat
22,192.168.21.225-192.168.21.70-41112-80,192.168.21.225,192.168.21.70,41112,80,1698,955,743,119728025.0,0.7780104712041885,0,0,958,1698,0,0,0,0,1719311403053718.0,1719311522781743.0,0,0,0,0,8.0014683279e-06,3.9923819005e-06,4.0090864273e-06,0.0006121123270846,0.000263497205437,0.0003486151216475,0,0,0,958,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat
23,192.168.21.225-192.168.21.70-41508-80,192.168.21.225,192.168.21.70,41508,80,1737,948,789,119844944.0,0.8322784810126582,0,0,961,1737,0,0,0,0,1719313803194333.0,1719313923039277.0,0,0,0,0,8.0186945558e-06,3.9884869903e-06,4.0302075655e-06,0.000613692973147,0.0002632401413613,0.0003504528317857,0,0,0,961,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat
24,192.168.21.70-192.168.21.225-80-41622,192.168.21.70,192.168.21.225,80,41622,1716,758,958,119833165.0,1.2638522427440633,0,0,958,1716,0,0,0,0,1719314163244041.0,1719314283077206.0,0,0,0,0,7.9944479476e-06,3.9972239738e-06,3.9972239738e-06,0.000611074571885,0.0003470825459713,0.0002639920259136,1,0,0,957,478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat
25,192.168.21.225-192.168.21.70-41340-80,192.168.21.225,192.168.21.70,41340,80,1741,938,803,119782511.0,0.8560767590618337,0,0,969,1741,0,0,0,0,1719315483025562.0,1719315602808073.0,0,0,0,0,8.0896617704e-06,3.9905658681e-06,4.0990959022e-06,0.0006198233730465,0.000263377347299,0.0003564460257474,0,0,0,969,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat
26,192.168.21.225-192.168.21.70-41626-80,192.168.21.225,192.168.21.70,41626,80,1729,939,790,119775334.0,0.8413205537806177,0,0,966,1729,0,0,0,0,1719316203173821.0,1719316322949155.0,0,0,0,0,8.0650996139e-06,3.9908049849e-06,4.0742946289e-06,0.0006176814334744,0.000263393129006,0.0003542883044684,0,0,0,966,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat
27,192.168.21.225-192.168.21.70-41816-80,192.168.21.225,192.168.21.70,41816,80,1706,949,757,119853570.0,0.79768177028451,0,0,960,1706,0,0,0,0,1719310683266447.0,1719310803120017.0,0,0,0,0,8.0097739266e-06,3.9881999343e-06,4.0215739923e-06,0.0006129229191921,0.000263221195664,0.0003497017235281,0,0,0,960,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat
28,192.168.21.225-192.168.21.70-41188-80,192.168.21.225,192.168.21.70,41188,80,1714,949,765,119788780.0,0.8061116965226555,0,0,961,1714,0,0,0,0,1719311882961723.0,1719312002750503.0,0,0,0,0,8.0224541897e-06,3.9903570267e-06,4.032097163e-06,0.0006139807083768,0.0002633635637661,0.0003506171446107,0,0,0,961,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat
29,192.168.21.225-192.168.21.70-41600-80,192.168.21.225,192.168.21.70,41600,80,1674,956,718,119761836.0,0.7510460251046025,0,0,957,1674,0,0,0,0,1719310083209254.0,1719310202971090.0,0,0,0,0,7.9908594587e-06,3.9912547766e-06,3.999604682e-06,0.0006112130745891,0.0002634228152614,0.0003477902593276,0,0,0,957,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat
30,192.168.21.225-192.168.21.70-41014-80,192.168.21.225,192.168.21.70,41014,80,1731,949,782,119776070.0,0.8240252897787145,0,0,965,1731,0,0,0,0,1719306602878418.0,1719306722654488.0,0,0,0,0,8.0567011423e-06,3.9907804622e-06,4.0659206801e-06,0.0006169512825057,0.0002633915105079,0.0003535597719978,0,0,0,965,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat
31,192.168.21.70-192.168.21.225-80-41638,192.168.21.70,192.168.21.225,80,41638,1710,755,955,119762762.0,1.2649006622516556,0,0,956,1710,0,0,0,0,1719314283103970.0,1719314402866732.0,0,0,0,0,7.9824478329e-06,3.9995737573e-06,3.9828740756e-06,0.0006108326058812,0.0003479629168873,0.0002628696889939,0,0,0,956,477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat
32,192.168.21.225-192.168.21.70-41704-80,192.168.21.225,192.168.21.70,41704,80,1717,949,768,119774081.0,0.80927291886196,0,0,961,1717,0,0,0,0,1719315363222285.0,1719315482996366.0,0,0,0,0,8.0234387271e-06,3.9908467341e-06,4.0325919929e-06,0.0006140560577542,0.0002633958844568,0.0003506601732974,0,0,0,961,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat
33,192.168.21.225-192.168.21.70-41210-80,192.168.21.225,192.168.21.70,41210,80,1725,956,769,119793353.0,0.8043933054393305,0,0,957,1725,0,0,0,0,1719306363003972.0,1719306482797325.0,0,0,0,0,7.9887571057e-06,3.9902046985e-06,3.9985524071e-06,0.0006110522676496,0.0002633535101066,0.0003476987575429,0,0,0,957,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat
34,192.168.21.70-192.168.21.225-80-41600,192.168.21.70,192.168.21.225,80,41600,1750,805,945,119964750.0,1.173913043478261,0,0,963,1750,0,0,0,0,1719309123100162.0,1719309243064912.0,0,0,0,0,8.0273580364e-06,4.0428542551e-06,3.9845037813e-06,0.0006147055697611,0.000351728320194,0.000262977249567,0,0,0,963,478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat
35,192.168.21.225-192.168.21.70-41340-80,192.168.21.225,192.168.21.70,41340,80,1710,942,768,119818511.0,0.8152866242038217,0,0,959,1710,0,0,0,0,1719307683032247.0,1719307802850758.0,0,0,0,0,8.0037716375e-06,3.989366885e-06,4.0144047525e-06,0.0006123761628117,0.0002632982144136,0.0003490779483981,0,0,0,959,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat
36,192.168.21.225-192.168.21.70-41538-80,192.168.21.225,192.168.21.70,41538,80,1740,955,785,119790668.0,0.8219895287958116,0,0,956,1740,0,0,0,0,1719313923235297.0,1719314043025965.0,0,0,0,0,7.9805882708e-06,3.9902941354e-06,3.9902941354e-06,0.0006103396969119,0.0002633594129385,0.0003469802839733,0,0,0,956,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat
37,192.168.21.225-192.168.21.70-41488-80,192.168.21.225,192.168.21.70,41488,80,1726,956,770,119787938.0,0.805439330543933,0,0,957,1726,0,0,0,0,1719311643139881.0,1719311762927819.0,0,0,0,0,7.9891182365e-06,3.9903850753e-06,3.9987331612e-06,0.0006110798901972,0.0002633654149719,0.0003477144752253,0,0,0,957,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat
38,192.168.21.225-192.168.21.70-41188-80,192.168.21.225,192.168.21.70,41188,80,1721,946,775,119780722.0,0.8192389006342494,0,0,961,1721,0,0,0,0,1719313683130546.0,1719313802911268.0,0,0,0,0,8.0229938837e-06,3.9906254697e-06,4.032368414e-06,0.0006140220126574,0.0002633812810044,0.0003506407316529,0,0,0,961,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat
39,192.168.21.225-192.168.21.70-41622-80,192.168.21.225,192.168.21.70,41622,80,1701,955,746,119837193.0,0.7811518324607329,0,0,957,1701,0,0,0,0,1719314763236805.0,1719314883073998.0,0,0,0,0,7.9858345814e-06,3.9887449633e-06,3.997089618e-06,0.0006108287266041,0.0002632571675806,0.0003475715590234,0,0,0,957,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat
40,192.168.21.225-192.168.21.70-41180-80,192.168.21.225,192.168.21.70,41180,80,1723,956,767,119720863.0,0.8023012552301255,0,0,959,1723,0,0,0,0,1719313323056390.0,1719313442777253.0,0,0,0,0,8.0102997586e-06,3.9926207347e-06,4.0176790239e-06,0.0006121990617458,0.0002635129684957,0.00034868609325,1,0,0,958,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat
41,192.168.21.225-192.168.21.70-41756-80,192.168.21.225,192.168.21.70,41756,80,1731,952,779,119829451.0,0.8182773109243697,0,0,959,1731,0,0,0,0,1719312003264682.0,1719312123094133.0,0,0,0,0,8.0030409218e-06,3.9890026701e-06,4.0140382517e-06,0.0006123202550598,0.000263274176229,0.0003490460788308,0,0,0,959,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat
42,192.168.21.225-192.168.21.70-41458-80,192.168.21.225,192.168.21.70,41458,80,1696,956,740,119768278.0,0.7740585774058577,0,0,957,1696,0,0,0,0,1719311403171002.0,1719311522939280.0,0,0,0,0,7.9904296528e-06,3.9910400982e-06,3.9993895545e-06,0.0006111801991508,0.0002634086464865,0.0003477715526643,0,0,0,957,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat
43,192.168.21.225-192.168.21.70-41300-80,192.168.21.225,192.168.21.70,41300,80,1720,948,772,119825840.0,0.8143459915611815,0,0,963,1720,0,0,0,0,1719307923051283.0,1719308042877123.0,0,0,0,0,8.0366638781e-06,3.9891228803e-06,4.0475409978e-06,0.0006145669414877,0.0002632821101024,0.0003512848313852,1,0,0,962,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat
44,192.168.21.225-192.168.21.70-41284-80,192.168.21.225,192.168.21.70,41284,80,1730,941,789,119577125.0,0.8384697130712009,0,0,960,1730,0,0,0,0,1719306723177073.0,1719306842754198.0,0,0,0,0,8.0282913642e-06,3.9890572716e-06,4.0392340926e-06,0.0006145155271127,0.0002632777799265,0.0003512377471861,0,0,0,960,478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat
45,192.168.21.225-192.168.21.70-41538-80,192.168.21.225,192.168.21.70,41538,80,1725,947,778,119785760.0,0.8215417106652587,0,0,959,1725,0,0,0,0,1719307083168435.0,1719307202954195.0,0,0,0,0,8.0059599738e-06,3.9904576303e-06,4.0155023435e-06,0.0006125435944973,0.0002633702036035,0.0003491733908938,0,0,0,959,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat
46,192.168.21.225-192.168.21.70-41752-80,192.168.21.225,192.168.21.70,41752,80,1727,955,772,119736929.0,0.8083769633507853,0,0,958,1727,0,0,0,0,1719315363256491.0,1719315482993420.0,0,0,0,0,8.0008733145e-06,3.9920850149e-06,4.0087882995e-06,0.0006120668085616,0.0002634776109883,0.0003485891975732,0,0,0,958,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat
47,192.168.21.225-192.168.21.70-41752-80,192.168.21.225,192.168.21.70,41752,80,1641,949,692,119584851.0,0.7291886195995785,0,0,958,1641,0,0,0,0,1719307443329714.0,1719307562914565.0,0,0,0,0,8.0110481552e-06,3.9887995512e-06,4.022248604e-06,0.0006130207914044,0.0002632607703796,0.0003497600210247,0,0,0,958,478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat
48,192.168.21.225-192.168.21.70-41598-80,192.168.21.225,192.168.21.70,41598,80,1722,955,767,119810281.0,0.8031413612565445,0,0,956,1722,0,0,0,0,1719306363253681.0,1719306483063962.0,0,0,0,0,7.9792818447e-06,3.9896409223e-06,3.9896409223e-06,0.0006102397840131,0.0002633163008773,0.0003469234831358,0,0,0,956,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat
49,192.168.21.225-192.168.21.70-41016-80,192.168.21.225,192.168.21.70,41016,80,1732,945,787,119862957.0,0.8328042328042328,0,0,961,1732,0,0,0,0,1719316202899587.0,1719316322762544.0,0,0,0,0,8.0174895067e-06,3.9878876006e-06,4.0296019061e-06,0.0006136007473935,0.0002632005816442,0.0003504001657492,0,0,0,961,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat
50,192.168.21.225-192.168.21.70-40982-80,192.168.21.225,192.168.21.70,40982,80,1690,944,746,119799750.0,0.7902542372881356,0,0,961,1690,0,0,0,0,1719307082878960.0,1719307202678710.0,0,0,0,0,8.0217195778e-06,3.9899916318e-06,4.031727946e-06,0.0006139244864868,0.0002633394477033,0.0003505850387834,0,0,0,961,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat
